geometry
"POLYGON ((553268.864526948 6975159.80875196, 553271.497702359 6975155.24795837, 553276.76405318 6975155.24795837, 553279.397228591 6975159.80875196, 553276.76405318 6975164.36954556, 553271.497702359 6975164.36954556, 553268.864526948 6975159.80875196))"
"POLYGON ((563342.744527634 6923877.91098957, 563351.133578197 6923863.38072777, 563367.911679323 6923863.38072777, 563376.300729885 6923877.91098957, 563367.911679323 6923892.44125137, 563351.133578197 6923892.44125137, 563342.744527634 6923877.91098957))"
"POLYGON ((549401.36729879 6928142.19964643, 549404.350273204 6928137.03298318, 549410.316222032 6928137.03298318, 549413.299196446 6928142.19964643, 549410.316222032 6928147.36630967, 549404.350273204 6928147.36630967, 549401.36729879 6928142.19964643))"
"POLYGON ((564162.303917254 6924133.28270277, 564163.265416968 6924131.61733642, 564165.188416395 6924131.61733642, 564166.149916108 6924133.28270277, 564165.188416395 6924134.94806913, 564163.265416968 6924134.94806913, 564162.303917254 6924133.28270277))"
"POLYGON ((542622.792852399 6957554.90515741, 542625.021997781 6957551.04416435, 542629.480288544 6957551.04416435, 542631.709433926 6957554.90515741, 542629.480288544 6957558.76615047, 542625.021997781 6957558.76615047, 542622.792852399 6957554.90515741))"
"POLYGON ((542781.447711594 6957782.98537804, 542785.093177877 6957776.67124522, 542792.384110445 6957776.67124522, 542796.029576728 6957782.98537804, 542792.384110445 6957789.29951086, 542785.093177877 6957789.29951086, 542781.447711594 6957782.98537804))"
"POLYGON ((542781.447711594 6957782.98537804, 542785.093177877 6957776.67124522, 542792.384110445 6957776.67124522, 542796.029576728 6957782.98537804, 542792.384110445 6957789.29951086, 542785.093177877 6957789.29951086, 542781.447711594 6957782.98537804))"
"POLYGON ((569110.914056942 6980604.62066935, 569112.356306513 6980602.12261981, 569115.240805653 6980602.12261981, 569116.683055224 6980604.62066935, 569115.240805653 6980607.11871888, 569112.356306513 6980607.11871888, 569110.914056942 6980604.62066935))"
"POLYGON ((530992.466582287 6957520.92771273, 531001.133423583 6957505.91630327, 531018.467106175 6957505.91630327, 531027.133947472 6957520.92771273, 531018.467106175 6957535.9391222, 531001.133423583 6957535.9391222, 530992.466582287 6957520.92771273))"
"POLYGON ((530992.466582287 6957520.92771273, 531001.133423583 6957505.91630327, 531018.467106175 6957505.91630327, 531027.133947472 6957520.92771273, 531018.467106175 6957535.9391222, 531001.133423583 6957535.9391222, 530992.466582287 6957520.92771273))"
"POLYGON ((549433.826451564 6928122.83874065, 549436.670606072 6928117.91252054, 549442.358915089 6928117.91252054, 549445.203069597 6928122.83874065, 549442.358915089 6928127.76496076, 549436.670606072 6928127.76496076, 549433.826451564 6928122.83874065))"
"POLYGON ((549448.101349284 6928109.11189713, 549451.141878348 6928103.84554631, 549457.222936477 6928103.84554631, 549460.263465541 6928109.11189713, 549457.222936477 6928114.37824795, 549451.141878348 6928114.37824795, 549448.101349284 6928109.11189713))"
"POLYGON ((549448.101349284 6928109.11189713, 549451.141878348 6928103.84554631, 549457.222936477 6928103.84554631, 549460.263465541 6928109.11189713, 549457.222936477 6928114.37824795, 549451.141878348 6928114.37824795, 549448.101349284 6928109.11189713))"
